"wikidata","label"
"Q121316092","Blue Moses (Brakhage, 1962)"
"Q122661800","Canyon (Jost, 1971)"
"Q16631287","Desordre (Baratier, 1955)"
"Q1468980","L'Eclisse (Antonioni, 1962)"
"Q451434","La Jetee (Marker, 1963)"
"Q688329","Even Dwarfs Started Small (Herzog, 1970)"
"Q700830","Die Angst Des Tormanns Beim Elfmeter (Wenders, 1972)"
"Q225355","Annee Derniere A Marienbad (Resnais, 1961)"
"Q122811238","Living In A Reversed World (Wrismann/Kohler, 1958)"
"Q195593","Masculine - Feminine (Godard, 1966)"
"Q122811209","Nothing Happened This Morning (Bienstock, 1965)"
"Q76940513","Nicht Mehr Fliehen (Vesely, 1955)"
"Q135465","Rashomon (Kurosawa, 1951)"
"Q55752315","Relativity (Emshwiller, 1966)"
"Q232217","Deux Ou Trois Choses Que Je Sais D'Elle (Godard, 1966)"
"Q8074498","Zorn's Lemma (Frampton, 1970)"
"Q1812267","Weekend (Godard, 1968)"
"Q122871122","Why Not (Arakawa, 1970)"
"Q151177","Stachka (Eisenstein, 1925)"
"Q55188","Zemlya (Dovzhenko, 1930)"
"Q704456","Arsenal (Dovzhenko, 1929)"
"Q1807931","Potomok Chingis-Khan (Pudovkin, 1928)"
"Q2198716","The End Of St. Petersburg (Pudovkin, 1927)"
"Q829250","Chelovek A Kinoapparatom (Vertov, 1929)"
"Q153886","Das Kabinett Des Dr. Caligari (Wiene, 1919)"
"Q926134","Koshikei (Oshima, 1968)"
"Q3657853","Capricci (Bene, 1969)"
"Q3878627","Nostra Signora Dei Turchi (Bene, 1969)"
"Q284980","Feu Mathias Pascal (L'Herbier, 1924)"
"Q2336169","The Cat And The Canary (Leni, 1927)"
"Q3178853","The Cremator (Herz, 1968)"
"Q122661783","Visual Training (Zwartjes, 1969)"
"Q3561417","Viva La Muerte (Arrabal, 1971)"
"Q122661831","The Liberation Of Mannique Mechanique (Arnold, 1971)"
"Q122661813","De Werkelijkheid Van Karel Appel (Vrijman, 1962)"
"Q108597806","Aos (Kuri, 1964)"
"Q190575","Un Chien Andalou (Bunuel/Dali, 1929)"
"Q308920","La Charme Discrete De La Bourgeoisie (Bunuel, 1972)"
"Q20729532","Spiste Horisonter (Freddie, 1950)"
"Q122811237","An Eater (Fuzino, 1963)"
"Q56309627","Le Cadeau (Vasseur/Roberts, 1961)"
"Q122929110","La Cloche (L'Hote, 1964)"
"Q122929111","La Gran Siguriya (Omar, 1955)"
"Q122661779","Runs Good (O'Neill, 1971)"
"Q3277397","Magritte (Heusch, 1955?)"
"Q122661817","Mr. Frenhofer And The Minotaur (Peterson, 1949)"
"Q7111048","Our Lady Of The Sphere (Jordan, 1969)"
"Q12127260","The Running, Jumping And Standing Still Film (Lester/Sellers, 1959)"
"Q3224667","Le Monde De Paul Delvaux (Storck, 1947)"
"Q2102747","The Lead Shoes (Peterson, 1949)"
"Q3620529","Anemic Cinema (Duchamp, 1926)"
"Q122661795","A La Mode (Vanderbeek, 1961)"
"Q3210836","Der Tod Der Maria Malibran (Schroeter, 1971)"
"Q121316149","En Dag I Staden (Hulten/Nordenstrom, 1956)"
"Q5174096","Cosmic Ray (Conner, 1962)"
"Q122661826","Homage To Jean Tinguely (Breer, 1960)"
"Q122661777","Oh Dem Watermelons (Nelson, 1965)"
"Q1529316","Pianissimo (D'Avino, 1963)"
"Q48741143","Further Adventures Of Uncle Sam (Mitchell/Chase, 1971)"
"Q122661791","Jamestown Baloos (Breer, 1967)"
"Q122661787","Science Friction (Vanderbeek, 1960)"
"Q122661802","Skullduggery (Vanderbeek, 1956)"
"Q122661821","Sort Of A Commercial For An Icebag (Hugo, 1970)"
"Q122811230","Aktion 540 (Koenigs, 1968)"
"Q1922418","Meshes Of The Afternoon (Deren, 1940)"
"Q122661794","Chinese Firedrill (Hindle, 1968)"
"Q122811235","The Door In The Wall (Alvey, 1956)"
"Q122929112","Go Slow On The Brighton (Smith, 1952)"
"Q122661836","God Is Dog Spelled Backwards (McLaughlin, 1967)"
"Q283036","Hiroshima Mon Amour (Resnais, 1959)"
"Q122661837","Het Huis (Gasteren, 1961)"
"Q122661841","In Marin County (Hutton, 1971)"
"Q3226891","Le Sang D'Un Poete (Cocteau, 1930)"
"Q122811218","Prune Flat (Whitman, 1965)"
"Q122929113","Power Of Plants (Moss/Schnee, 1949)"
"Q38842002","Renaissance (Borowczyk, 1963)"
"Q122811223","Smoking (Jones, 1970)"
"Q122661774","Akran (Myers, 1970)"
"Q2853164","Anticipation Of The Night (Brakhage, 1957)"
"Q514531","L'Avventura (Antonioni, 1960)"
"Q177519","Empire (Warhol, 1964)"
"Q3045436","Detruire, Dit-Elle (Duras, 1969)"
"Q185445","La Later Un Femme Mariee (Godard, 1964)"
"Q3713525","Don Giovanni (Bene, 1970)"
"Q4445366","Tom, Tom, The Piper's Son (Jacobs, 1969)"
"Q3006638","Vampyr (Portabella, 1970)"
"Q567519","Katzelmacher (Fassbinder, 1969)"
"Q60854536","La Verifica Incerta (Berucello/Griffi, 1965)"
"Q239630","Prima Della Rivoluzione (Bertolucci, 1964)"
"Q86427","A Bout De Souffle (Godard, 1959)"
"Q1114312","Chronik Der Anna Magdalena Bach (Straub, 1967)"
"Q778161","Touch Of Evil (Welles, 1957)"
"Q873313","Csillagosok, Katonak (Jancso, 1968)"
"Q101111336","Twice A Man (Markopoulos, 1963)"
"Q2423867","Wavelength (Snow, 1967)"
"Q258830","Der Letzte Mann (Murnau, 1924)"
"Q122811233","Running Shadow (Fulton, 1971)"
"Q371945","Meg Ker A Nep (Jancso, 1972)"
"Q554984","Variete (Dupont, 1925)"
"Q122661797","Color Film (Lawder, 1971)"
"Q122661827","Un Film (Boissonnas, 1969)"
"Q1743744","Kiss (Warhol, 1962)"
"Q122661770","Naissant (Dwoskin, 1967)"
"Q122811210","Particle Removal Series (McCullough, 1972)"
"Q122661839","Im Schonsten Wiesengrunde (Guten, 1968)"
"Q122929114","Railroad (Mommartz, 1967)"
"Q122661788","Runaway (Lawder, 1970)"
"Q1465774","Sleep (Warhol, 1964)"
"Q121316070","Bells Of Atlantis (Hugo, 1953)"
"Q805227","Ballet Mechanique (Leger, 1924)"
"Q58814597","Beyond The Law (Mailer, 1968)"
"Q122811217","Blazes (Breer, 1961)"
"Q122811216","Black Tv (Tambellini, 1969)"
"Q122661819","Damon The Mower (Dunning, 1971)"
"Q2411410","Flicker (Conrad, 1966)"
"Q2187512","H 2 0 (Steiner, 1929)"
"Q2487851","Nevinost Bez Zastite (Makavejev, 1968)"
"Q122929115","Institutional Quality (Landow, 1969)"
"Q122871145","For Example (Arakawa, 1971)"
"Q515626","Tokyo Senso Sengo Hiwa (Oshima, 1970)"
"Q122661843","Permutations (Whitney, 1968)"
"Q695255","Persona (Bergman, 1966)"
"Q21999896","Arnulf Rainer (Kubelka, 1957)"
"Q122661801","Razor Blades (Sharits, 1968)"
"Q6951584","N.Y., N.Y. (Thompson, 1958)"
"Q7762993","The Secret Cinema (Bartel, 1966)"
"Q122830619","Ufo's (Schwartz/Knowlton, 1972)"
"Q1170630","Das Unheil (Fleischmann, 1972)"
"Q2905436","Black Panthers (Varda, 1969)"
"Q2873708","The Cry Of Jazz (Bland, 1959)"
"Q122929116","Deadline For Action (1948)"
"Q122929117","Delaware (Newsreel Film Collective, 1968)"
"Q122929118","Eight Flags For 99 Cents (Olin, 1970)"
"Q122811211","An Evil Hour (Wolff, 1970)"
"Q784812","The Battle Of Algiers (Pontecorvo, 1966)"
"Q122661820","Stadtfuhrer Fur Bonn Und Umgebung (Vosz, 1969)"
"Q30598450","Hail (Levinson, 1971)"
"Q122929119","Der Hamburger Aufstand October 1923 (Etz/Tuchtenhagen/Wildenhahn, 1972)"
"Q122811214","Hog Calling Blues (Pace, 1969)"
"Q122661799","The Great Society (Mogubgub, 1967)"
"Q7752676","The Murder Of Fred Hampton (Gray, 1971)"
"Q2606896","Las Hurdes (Bunuel, 1932)"
"Q1656084","Ice (Kramer, 1970)"
"Q122661825","I'm A Man (Rosen, 1969)"
"Q122830615","I'm Going To Give You All My Love (Peil, 1971)"
"Q518882","O Dreamland (Anderson, 1953)"
"Q6838747","Mickey Mouse In Vietnam (Savage, 1968)"
"Q122811234","Palestine (McDonald, 1971)"
"Q59692842","Le Peuple Et Ses Fusils (Ivens, 1967)"
"Q3281163","Pravda (Godard, 1969)"
"Q1348016","Punishment Park (Watkins, 1971)"
"Q122830604","The Revolutionary Was A Cop (Weiss, 1971)"
"Q3905449","Pioniere In Ingolstadt (Fassbinder, 1971)"
"Q122929120","Robert Wall, Ex-Fbi Agent (Anderson/Jacobs/Landau)"
"Q3463988","San Michele Aveve Un Gallo (Taviani/Taviani, 1971)"
"Q3518630","The Spanish Earth (Ivens, 1937)"
"Q122929121","Espana 68 (Unitelefilm Collective, 1968)"
"Q979271","See You At Mao (Godard, 1969)"
"Q122661824","12-12-46 (Stone, 1966)"
"Q3545779","Wholly Communion (Whitehead, 1965)"
"Q122929122","Yippie (Yippie Film Collective, 1968)"
"Q1199485","Der Plotzliche Reichtum Der Armen Leute Von Kombach (Schloendorff, 1971)"
"Q16682279","Valparaiso, Valparaiso (Aubier, 1971)"
"Q122929123","The Woman's Film (Smith/Alaimo/Sorren,  1971)"
"Q122811229","Sunday (Drasin, 1961)"
"Q122661812","Susan After The Sugar Harvest (Robinson, 1971)"
"Q122661832","Three Lives (Millet, 1971)"
"Q122811239","Troublemakers (Machover/Fruchter, 1966)"
"Q666364","Ljubavni Slucaj Ili Tragedija Sluzbenice P.T.T. (Makavejev, 1967)"
"Q122661806","Magany (Lakatos, 1969)"
"Q122661780","Wuearod Ludzi (Slesicki, 1962)"
"Q7733763","A Paty Jezdec Je Strach ... (Brynych, 1964)"
"Q36530326","Byt (Svankmajer, 1968)"
"Q3234328","Ptackove, Sirotci A Blazni (Jakubisco, 1971)"
"Q122661815","A Sekat Dobrotu (Solan, 1968)"
"Q910705","Sedmikrasky (Chytilova, 1966)"
"Q65032285","Fotel (Szczechura, 1963)"
"Q2026238","Rani Radovi (Zilnik, 1969)"
"Q1193389","Hori Ma Panenko (Forman, 1967)"
"Q21869357","Muha (Marks/Jutrisa, 1967)"
"Q3483691","Identification Marks:  None (Skolimowski, 1964)"
"Q12779318","The Deserter And The Nomads (Jakubisco, 1968)"
"Q5289717","Dom (Borowczyk/Lenica, 1958)"
"Q122661833","Maszyna (Szchechura, 1963)"
"Q122929124","My Dearest Wish (Spata, 1965)"
"Q122661808","Per Aspera Ad Astra (Dragic, 1969)"
"Q122929125","Strahov (1966)"
"Q774805","Zert (Jires, 1968)"
"Q122929126","Vesela Klasa (Marija)"
"Q3825168","Labirynth (Lenica, 1962)"
"Q104882421","Don Kihote (Kristl, 1961)"
"Q112869510","Nije Ptica Sve Sto Leti (Sajtinac, 1970)"
"Q12754580","Lipanjska Gibanja (Zilnik, 1968)"
"Q122929127","Jan Palach (1969)"
"Q15824929","La Tecnica E Il Rito (Jancso, 1971)"
"Q122661844","Bez Naslova (Dovnikovic, 1965)"
"Q104834371","Zid (Zaninovic, 1966)"
"Q3040350","Ordinary Courage (Schorm, 1964)"
"Q503046","Andrej Rubljow (Tarkovsky, 1966)"
"Q4659196","O Slavnosti A Hostech (Nemec, 1966)"
"Q122929128","Bloudeni (Curik/Masa, 1965)"
"Q2587098","Wr - Misterije Organizma (Makavejev, 1971)"
"Q531109","Szegenylegenyek (Jancso, 1965)"
"Q232095","Dwaj Ludzie Z Stafa (Polanski, 1957)"
"Q7713116","Il Alienista (Santos, 1970)"
"Q2435697","Antonio-Das-Mortes (Rocha, 1969)"
"Q4927841","Yawar Mallku (Sanjines, 1970)"
"Q122830611","Acerca De Un Personaje Que Unos Llaman San Lazaro Y Otros Llaman Babalu (Cortazar, 1968)"
"Q122811231","Desnutricion Infantil (Ramirez, 1969)"
"Q121316107","Culebra:  The Beginning (Texera, 1971)"
"Q5372649","Emitai (Sembene, 1971)"
"Q16652571","La Primera Carga Al Machete (Gómez, 1969)"
"Q3233271","Os Herdeiros (Diegues, 1970)"
"Q19516217","La Formula Secreta (Gomez, 1966)"
"Q122661835","79 Primaveras (Alvarez, 1969)"
"Q3950846","La Hora De Los Hornos (Solanas, 1967)"
"Q122929129","Tempo Di Violencia (Anonymous, 1970)"
"Q3232105","Os Deuses E Os Mortos (Guerra, 1970)"
"Q1576347","Macunaima (Andrade, 1969)"
"Q2014254","The Money Order (Sembene, 1968)"
"Q10353198","Prato Palomares (Faria, 1970)"
"Q8076381","Que Hacer? (Landau/Becket/Ruiz,  1970)"
"Q7306615","Reed:  Mexico Insurgente (Leduc, 1971)"
"Q69356005","Urlaub Auf Sylt (Thorndike/Thorndike, 1959)"
"Q122661793","O.K. (Heynowski, 1964)"
"Q106233916","Piloten Im Pyjama (Heynowski/Scheumann, 1968)"
"Q122830617","Feine Spielwaren - Made In Usa (Raetz, 1969)"
"Q1199308","The Laughing Man (Heynowski/Scheumann, 1967)"
"Q156497","Triumph Des Willens (Riefenstahl, 1936)"
"Q122661818","Feuertaufe (Bertram, 1940)"
"Q165642","Der Ewige Jude (Hippler, 1940)"
"Q122661829","Beauty Knows No Pain (Erwitt, 1971)"
"Q122929130","Acupunctural Anaesthesia (Television, 1971)"
"Q283172","Shonen (Oshima, 1969)"
"Q122830616","Love (Kuri, 1964)"
"Q122661845","The Casting (Pasternak, 1971)"
"Q1094852","Le Genou De Claire (Rohmer, 1970)"
"Q122661846","Cuckoo Waltz (Moerkerken, 1955)"
"Q122830608","Dinner Three Minutes (Vroom, 1969)"
"Q7730768","The Dove (Coe, 1971)"
"Q2362995","Dreams That Money Can Buy (Richter, 1948)"
"Q2241601","Faces (Cassavetes, 1968)"
"Q3049378","Eikka Katappa (Schroeter, 1970)"
"Q122830607","Powszedni Dzien Gestapowsca Schmidta (Ziarnik, 1964)"
"Q1168501","Le Bonheur (Varda, 1966)"
"Q30521223","Wie Ich Ein Schwarzer Wurde (Gall, 1970)"
"Q17630794","Ich Liebe Dich, Ich Tote Dich (Brandner, 1971)"
"Q122830618","Nihonto - Monogatari (Asano, 1958)"
"Q2870474","Land Des Schweigens Und Der Dunkelheit (Herzog, 1971)"
"Q5945562","Postschi (Mehrjui, 1971)"
"Q6585182","Margalit, The Highway Queen (Golan, 1971)"
"Q122929131","Moonwalk No. 1 (1971)"
"Q25513","Paris Nous Appartient (Rivette, 1961)"
"Q6507640","Le Revelateur (Garrel, 1968)"
"Q144521","Titicut Follies (Wiseman, 1967)"
"Q28788752","Geschichten Vom Kubelkind (Stoeckl/Reitz, 1970)"
"Q2928298","The Scandalous Adventures Of Buraikan (Shinoda, 1970)"
"Q2586674","Salesman (Maysles/Maysles, 1969)"
"Q122661772","The Bed (Broughton, 1967)"
"Q122661810","Documentary Footage (Fisher, 1968)"
"Q104863118","Fly (Ono, 1971)"
"Q29577744","Number 4 (Ono, 1968)"
"Q122811226","Black Pudding (Edell, 1971)"
,"""Beaver"" Films (1970)"
"Q20874589","The Continuing Story Of Carel And Ferd (Ginsberg, 1972)"
"Q16950461","Coming Apart (Ginsberg, 1969)"
"Q41132","Barbarella (Vadim, 1968)"
"Q653375","Dear John (Lindgren, 1964)"
"Q122929132","Everready (1925)"
"Q122929133","Electrosex (1970)"
"Q111723679","Fuses (Schneemann, 1967)"
"Q664020","The Go-Between (Losey, 1971)"
"Q4657342","History Of The Blue Movie (Renzie, 1971)"
"Q2054210","Jag Ar Nyfiken - Gul / Bla (Sjoman, 1967)"
"Q570567","Last Tango In Paris (Bertolucci, 1972)"
"Q122929134","Kodak Ghost Poems (Noren, 1970)"
"Q122811227","Orange (Johnson, 1969)"
"Q122661847","Psychomontage (Kronhausen/Kronhausen, 1960?)"
"Q7432260","Schoolgirl (Reberg, 1971)"
"Q122830603","Secrets Of Life (Faccinto, 1971)"
"Q122661807","Sex (Avidan, 1971)"
"Q122830610","Shadow Of An Apple (Lapoujade, 1965)"
"Q122811232","Tales (Gerstein, 1970)"
"Q12310044","A Stranger Knocks (Jacobsen, 1963)"
"Q122661773","Take Me (Dwoskin, 1969)"
"Q122929135","What Goes On At Sex Therapy Clinics (Cablecasting, 1972)"
"Q2294282","L'Orribile Segreto Del Dottor Hitchcock (Hampton, 1962)"
"Q470375","Belle De Jour (Bunuel, 1966)"
"Q61978411","La Fee Sanguinaire (Lethum, 1968)"
"Q885485","Blow Job (Warhol, 1964)"
"Q1304788","Un Chant D'Amour (Genet, 1950)"
"Q3278514","Mais Ne Nous Deliverez Pas Du Mal (Seria, 1971)"
"Q122661828","Cybele (Ritchie, 1968)"
"Q181086","A Clockwork Orange (Kubrick, 1971)"
"Q1197125","Le Depart (Skolimowski, 1967)"
"Q1137042","Shinjuku Dorobo Nikki (Oshima, 1969)"
"Q670589","Fireworks (Anger, 1947)"
"Q947538","Flaming Creatures (Smith, 1962)"
"Q122661816","Flesh Of Morning (Brakhage, 1956)"
"Q742308","Morte A Venezia (Visconti, 1971)"
"Q122661814","Fragment Of Seeking (Harrington, 1946)"
"Q221587","Frenzy (Hitchcock, 1971)"
"Q1149669","Heat (Morrisey, 1972)"
"Q457675","Nicht Der Homosexuelle Ist Pervers, Sodern Die Situation, In Der Er Lebt (Praunheim, 1971)"
"Q122661778","Lovemaking (Brakhage, 1969)"
"Q6897745","Mona (Osco, 1970)"
"Q122811213","The Man From Onan (Ruskin, 1971)"
"Q686059","Souffle Au Coeur (Malle, 1971)"
"Q830018","Besonders Wertvoll (Costard, 1968)"
"Q15052466","Portrait Of Jason (Clarke, 1967)"
"Q122661782","Sodoma (Muehl, 1970)"
"Q15805836","Die Unterdruck Der Frauen Ist Vor Allenam Verhalten Der Frauen Selber Zu Erkennen! (Costard, 1969)"
"Q3230564","Okasareta Byakui (Wakamatsu, 1967)"
"Q963014","Trash (Morrisey, 1970)"
"Q20728906","Hvorfor Goer De Det? (Kronhausen/Kronhausen, 1971)"
"Q2326990","All My Babies (Stoney, 1953)"
"Q122811212","Sa Borgar Livet (Wallen, 1968)"
"Q122661798","Kirsa Nicholina (Nelson, 1970)"
"Q25999725","The Private Life Of A Cat (Hammid, 1946)"
"Q8024356","Window Water Baby Moving (Brakhage, 1959)"
"Q7712293","The Act Of Seeing With One's Own Eyes (Brakhage, 1972)"
"Q7714831","The Atom Strikes (Army Pictorial Service, USA)"
"Q122661849","Birth And Death (Barron/Barron, 1968)"
"Q3226906","Le Sang Des Betes (Franju, 1949)"
"Q739046","Les Diaboliques (Clouziot, 1955)"
"Q122811215","The End Of One (Kocela, 1971)"
"Q122830613","Corrida Interdite (Daunant)"
"Q976558","Jeux Inderdits (Clement, 1952)"
"Q122929137","Germ And Chemical Warfare (CBS News, 1968)"
"Q1671458","Interviews With My Lai Veterans (Strick, 1971)"
"Q122929138","It Is Good To Live (Kamei, 1958)"
"Q122929139","Posledni Veci Cloveka (Kubicek, 1967)"
"Q2650998","A Movie (Conner, 1958)"
"Q122661790","Necrology (Lawder, 1969)"
"Q8026319","Wintersoldier (Winterfilm Collective, 1972)"
"Q122929140","The Race (Copland, 1970)"
"Q122929141","Zrcadleni (Schorm, 1965)"
"Q8874808","Rite Of Love And Death (Mishima, 1965)"
"Q122661785","Sirius Remembered (Brakhage, 1959)"
"Q122661834","Vivre (Vilardebo, 1960)"
"Q122830605","L'Aube Des Damnes (Rachedi, 1970)"
"Q122929142","Vietnam, Land Of Fire (1966)"
"Q18401","When Love Falls Episode In Love And The City (Antonioni, 1953)"
"Q1248388","The War Game (Watkins, 1965)"
"Q9158966","Archaeologia (Brzozowski, 1967)"
"Q11775225","Mesto Darovane (Kressl, 1968)"
"Q122929143","Camps Of The Dead (1947)"
"Q44916819","Motyli Tady Neziji (Bernat, 1958)"
"Q122830606","Chotyn - 5 Km (Kolovsky, 1968)"
"Q3830878","Les Jeux Des Anges (Borowczyk, 1964)"
"Q5282888","Ghetto Terezin (Radok, 1948)"
"Q122830609","Bylem Kapo (Jaworski, 1964)"
"Q6815312","Memorandum (Brittain/Spotten, 1966)"
"Q706373","Nuit Et Brouillard (Resnais, 1955)"
"Q122661804","Sighet, Sighet (Becker, 1967)"
"Q122929144","Warsaw Ghetto (1944)"
"Q946849","L'Age D'Or (Bunuel, 1930)"
"Q3202256","Archandel Gabriel A Pani Husa (Trnka, 1965)"
"Q122811236","Constitution And Censorship (Sharff, 1953)"
"Q122661805","Every Seventh Child (Willis, 1967)"
"Q14942129","L'Imitation Du Cinema (Marien, 1959)"
"Q1763495","Marjoe (Smith/Kernochan, 1972)"
"Q2250653","Le Miracolo (Rossellini, 1948)"
"Q2339978","Matka Joanna Od Aniolow (Kawalerowicz, 1961)"
"Q122811219","A Note From Above (Phillips, 1969)"
"Q122661848","Maria-Empfangnis-Aktion-Hermann Nitsch (/Sommer, 1969)"
"Q965569","La Religieuse (Rivette, 1965)"
"Q122811220","Rape (Linden, 1966)"
"Q61977538","The Sin Of Jesus (Frank, 1961)"
"Q18423","Roma (Fellini, 1972)"
"Q2357585","Simon Of The Desert (Bunuel, 1966)"
"Q852841","Viridiana (Bunuel, 1961)"
"Q499036","The Andromeda Strain (Wise, 1971)"
"Q1754532","Vredens Dag (Dreyer, 1943)"
"Q2005061","The Big Shave (Scorsese, 1967)"
"Q122661811","Bitter Grapes (Bartlett, 1968)"
"Q122830614","Anastenaria (Condouros, 1961)"
"Q618118","Ohayo (Oza, 1960)"
"Q122811221","Here Comes Every Body (Whitmore, 1972)"
"Q1168890","The House Is Black (Farrokhzad, 1963)"
"Q122811228","Look At Life (Gosling, 1969)"
"Q85853792","Blood (Pollet, 1971)"
"Q122661775","Saturday Morning (Mackenzie, 1970)"
"Q3981080","La Taranta (Mengozzi, 1961)"
"Q122811222","Selective Service System (Haack, 1970)"
"Q2109452","Allures (Belson, 1961)"
"Q58814795","Apotheosis (Lennon, 1970)"
"Q1977969","Tretya Meshchanskaya (Room, 1927)"
"Q109974393","Breathing Together: Revolution Of The Electric Family (Markson, 1970)"
"Q122661809","Co-Co Puffs (Wohl, 1972)"
"Q122811225","Family (Smith, 1971)"
"Q2266061","Fata Morgana (Herzog, 1970)"
"Q116144","Free Radicals (Lye, 1957)"
"Q4139699","Glen And Randa (McBride, 1971)"
"Q913311","A Hard Day's Night (Lester, 1964)"
"Q64995744","Lapis (Whitney, 1966)"
"Q122811224","Lightning Waterfall Fern Soup (Kennedy, 1971)"
"Q25409880","Paradise Now (Rachlin, 1970)"
"Q122811208","Nebula Ii (Frerck, 1971)"
"Q122661771","Samadhi (Belson, 1968)"
"Q122661776","This Is It (Broughton, 1971)"
"Q122830602","Self-Obliteration (Yalkut, 1967)"
